Id,Model,Ram,Hdd,Location,Price
135,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,DallasDAL-10,$421.99
136,DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,San FranciscoSFO-12,$135.99
137,Huawei RH1288v22x Intel Xeon E5-2650,8GBDDR3,2x1TBSATA2,SingaporeSIN-11,S$269.99
138,Dell R730XD2x Intel Xeon E5-2620V4,64GBDDR4,4x2TBSATA2,SingaporeSIN-11,S$421.99
139,Huawei RH2288V22x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,SingaporeSIN-11,S$239.99
140,Dell R730XD2x Intel Xeon E5-2650v4,128GBDDR4,4x480GBSSD,FrankfurtFRA-10,€395.99
141,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€252.99
142,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€342.99
143,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€364.99
144,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$437.99
145,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$303.99
146,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$411.99
147,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€99.00
148,IBM X36302x Intel Xeon E5620,32GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€99.00
149,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,6x1TBSATA2,FrankfurtFRA-10,€124.99
150,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$225.99
151,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€187.99
152,HP DL380eG82x Intel Xeon E5-2420,32GBDDR3,8x300GBSAS,FrankfurtFRA-10,€176.99
153,HP DL380eG82x Intel Xeon E5-2420,8GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$183.99
154,HP DL180G62x Intel Xeon E5620,32GBDDR3,2x1TBSATA2,Hong KongHKG-10,S$228.00
155,HP DL180G62x Intel Xeon E5620,8GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$175.99
156,Dell R720XD2x Intel Xeon E5-2640v2,64GBDDR3,8x1TBSATA2,FrankfurtFRA-10,€249.00
157,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,FrankfurtFRA-10,€316.99
