Id,Model,Ram,Hdd,Location,Price
241,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€142.99
242,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$235.59
243,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$350.59
244,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$355.59
245,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,Washington D.C.WDC-01,$427.59
246,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€295.99
247,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,FrankfurtFRA-10,€355.99
248,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€103.99
249,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$151.99
250,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,San FranciscoSFO-12,$135.99
251,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,FrankfurtFRA-10,€94.99
252,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,Washington D.C.WDC-01,$410.99
253,HP DL120G7Intel G850,4GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$97.99
254,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,DallasDAL-10,$206.99
255,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,DallasDAL-10,$451.99
256,HP DL180G62x Intel Xeon E5620,32GBDDR3,2x1TBSATA2,Hong KongHKG-10,S$719.99
257,Dell R730XD2x Intel Xeon E5-2620v4,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$349.99
258,Dell R730XD2x Intel Xeon E5-2650v4,128GBDDR4,4x480GBSSD,Washington D.C.WDC-01,$461.99
259,DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,Washington D.C.WDC-01,$169.99
260,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,San FranciscoSFO-12,$327.99
261,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€277.99
262,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€367.99
263,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€389.99
264,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$333.99
265,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$441.99
266,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$467.99
267,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,DallasDAL-10,$200.99
268,Dell R5102x Intel Xeon E5620,8GBDDR3,2x1TBSATA2,DallasDAL-10,$195.99
269,HP DL180G62x Intel Xeon E5645,32GBDDR3,8x2TBSATA2,DallasDAL-10,$217.99
270,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,DallasDAL-10,$367.79
271,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$250.99
272,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$255.99
273,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,DallasDAL-10,$327.99
274,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,Washington D.C.WDC-01,$200.99
275,Dell R5102x Intel Xeon E5620,8GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$195.99
276,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,FrankfurtFRA-10,€341.99
277,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,DallasDAL-10,$410.99
278,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$255.99
279,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,San FranciscoSFO-12,$327.99
280,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$255.99
281,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,Washington D.C.WDC-01,$327.99
282,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$255.99
283,IBM X36302x Intel Xeon E5620,16GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$202.99
284,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$250.99
285,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$255.99
286,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,Washington D.C.WDC-01,$367.79
287,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,San FranciscoSFO-12,$200.99
288,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$250.99
289,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$333.99
290,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$441.99
291,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€279.99
292,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$335.99
293,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$335.99
294,HP DL160 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$412.99
295,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$467.99
296,HP DL180 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€343.99
297,HP DL180 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$412.99
298,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€99.99
299,HP DL120G6Intel G6950,4GBDDR3,4x500GBSATA2,Washington D.C.WDC-01,$79.99
300,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,DallasDAL-10,$135.99
301,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x500GBSATA2,DallasDAL-10,$140.99
302,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,San FranciscoSFO-12,$233.99
303,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,Washington D.C.WDC-01,$233.99
304,HP DL120G6Intel Xeon X3440,8GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$99.99
305,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,DallasDAL-10,$151.99
306,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,DallasDAL-10,$233.99
307,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$140.99
308,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$135.99
309,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$1953.99
310,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$2141.99
311,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€1069.99
312,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$2412.99
313,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€781.99
314,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€899.99
315,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,Washington D.C.WDC-01,$451.99
316,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,FrankfurtFRA-10,€375.99
317,Dell R210-IIIntel Xeon E3-1230v2,16GBDDR3,2x500GBSATA2,FrankfurtFRA-10,€96.99
318,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,FrankfurtFRA-10,€272.99
319,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,FrankfurtFRA-10,€166.99
320,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,FrankfurtFRA-10,€190.99
321,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€212.99
322,Dell R7202x Intel Xeon E5-2643,32GBDDR3,2x120GBSSD,FrankfurtFRA-10,€246.99
323,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€190.99
324,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,Washington D.C.WDC-01,$230.99
325,HP DL180G62x Intel Xeon E5620,32GBDDR3,2x1TBSATA2,SingaporeSIN-11,S$719.99
326,HP DL180G62x Intel Xeon E5620,8GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$143.99
327,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,San FranciscoSFO-12,$111.99
